epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.055,1.31137,0.55219,1.16709,0.91476,0.9686,0.94597,0.49428,1.7682,0.63606,1.44995,0.000659933,0.000659933,0.000659933
2,51.1148,1.46728,0.61206,1.23255,0.89732,0.93863,0.93172,0.44916,1.7612,0.6749,1.4274,0.00128459,0.00128459,0.00128459
3,75.2092,1.48399,0.62991,1.24329,0.90213,0.96498,0.93471,0.48401,1.71529,0.65697,1.41243,0.00186703,0.00186703,0.00186703
4,99.0906,1.47363,0.62686,1.24616,0.91342,0.97112,0.93739,0.47101,1.72542,0.67065,1.43927,0.00181,0.00181,0.00181
5,123.614,1.45106,0.61188,1.23704,0.90055,0.95668,0.95637,0.49815,1.74734,0.62914,1.45332,0.00174667,0.00174667,0.00174667
6,148.25,1.43774,0.6116,1.23069,0.90816,0.96751,0.95419,0.4883,1.71676,0.65216,1.42177,0.00168333,0.00168333,0.00168333
7,171.218,1.46346,0.62044,1.24835,0.87769,0.9639,0.93775,0.48122,1.7638,0.6509,1.45007,0.00162,0.00162,0.00162
8,195.799,1.46225,0.60877,1.23734,0.89837,0.95731,0.94531,0.49457,1.72238,0.63341,1.43795,0.00155667,0.00155667,0.00155667
9,220.313,1.44933,0.60783,1.23309,0.89191,0.9639,0.93704,0.47463,1.76196,0.65192,1.45714,0.00149333,0.00149333,0.00149333
10,243.613,1.4285,0.59941,1.22807,0.88457,0.94946,0.92907,0.46743,1.75914,0.6538,1.45348,0.00143,0.00143,0.00143
11,267.669,1.42924,0.60069,1.22042,0.91732,0.95668,0.94786,0.49024,1.7732,0.64864,1.44338,0.00136667,0.00136667,0.00136667
12,291.923,1.3914,0.5936,1.20281,0.89928,0.94946,0.94262,0.47181,1.72946,0.61347,1.42584,0.00130333,0.00130333,0.00130333
13,315.094,1.40144,0.58681,1.21597,0.90516,0.96473,0.94973,0.49471,1.79502,0.63169,1.46525,0.00124,0.00124,0.00124
14,339.378,1.35909,0.57506,1.1832,0.92095,0.96734,0.95493,0.49235,1.77607,0.6312,1.46145,0.00117667,0.00117667,0.00117667
15,364.02,1.37726,0.58451,1.19265,0.90589,0.97834,0.94565,0.47826,1.75362,0.64313,1.4398,0.00111333,0.00111333,0.00111333
16,387.443,1.35676,0.56431,1.18185,0.89271,0.97112,0.92855,0.46889,1.73654,0.63949,1.4382,0.00105,0.00105,0.00105
17,411.183,1.35342,0.56763,1.18632,0.90294,0.97397,0.93762,0.47572,1.72701,0.63997,1.42428,0.000986667,0.000986667,0.000986667
18,435.747,1.34787,0.57006,1.18441,0.90055,0.97473,0.9463,0.483,1.74822,0.62876,1.43711,0.000923333,0.000923333,0.000923333
19,459.302,1.32677,0.55441,1.16673,0.90854,0.96823,0.95485,0.49194,1.74913,0.63028,1.44598,0.00086,0.00086,0.00086
20,482.962,1.30583,0.55353,1.16377,0.90043,0.97834,0.9461,0.46486,1.75278,0.63868,1.4427,0.000796667,0.000796667,0.000796667
