epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0664,1.43898,0.58748,1.21542,0.91265,0.98071,0.95299,0.50487,1.72127,0.60896,1.40569,0.000659933,0.000659933,0.000659933
2,66.3923,1.46404,0.61535,1.2311,0.90392,0.9639,0.95448,0.46664,1.75603,0.66041,1.43614,0.00128459,0.00128459,0.00128459
3,89.829,1.46771,0.63127,1.23705,0.89221,0.95668,0.94337,0.49148,1.712,0.66083,1.40437,0.00186703,0.00186703,0.00186703
4,114.043,1.48263,0.63452,1.24279,0.89667,0.97114,0.92893,0.46575,1.70533,0.67486,1.43307,0.00181,0.00181,0.00181
5,136.892,1.44718,0.62072,1.23044,0.89905,0.97473,0.95337,0.47691,1.74872,0.62867,1.4511,0.00174667,0.00174667,0.00174667
6,160.785,1.44042,0.61018,1.23546,0.91077,0.95805,0.94511,0.47655,1.75083,0.63107,1.43084,0.00168333,0.00168333,0.00168333
7,184.811,1.45688,0.61377,1.23727,0.89119,0.97572,0.95594,0.47945,1.76021,0.66137,1.44256,0.00162,0.00162,0.00162
8,207.678,1.45332,0.60157,1.22616,0.89596,0.96029,0.94162,0.49016,1.73429,0.6344,1.4333,0.00155667,0.00155667,0.00155667
9,232.082,1.43986,0.60354,1.22175,0.91483,0.96945,0.9539,0.49832,1.73548,0.64524,1.44286,0.00149333,0.00149333,0.00149333
10,255.417,1.41886,0.59516,1.22053,0.90832,0.96572,0.95409,0.47347,1.78974,0.63465,1.45173,0.00143,0.00143,0.00143
11,278.677,1.42483,0.60739,1.21561,0.8899,0.96296,0.94131,0.48507,1.78523,0.65278,1.45681,0.00136667,0.00136667,0.00136667
12,302.885,1.38648,0.59295,1.19635,0.90093,0.97112,0.9432,0.47183,1.75232,0.62529,1.45895,0.00130333,0.00130333,0.00130333
13,325.515,1.38892,0.5828,1.21562,0.90264,0.97112,0.94634,0.47464,1.77794,0.62674,1.46946,0.00124,0.00124,0.00124
14,349.711,1.36683,0.5791,1.18933,0.90753,0.95668,0.94933,0.47174,1.78648,0.63868,1.4666,0.00117667,0.00117667,0.00117667
15,373.91,1.37021,0.58097,1.19356,0.90633,0.97112,0.95123,0.49093,1.73328,0.63341,1.43472,0.00111333,0.00111333,0.00111333
16,396.61,1.35565,0.5684,1.18334,0.90402,0.95207,0.93916,0.47495,1.7713,0.63665,1.46831,0.00105,0.00105,0.00105
