epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6293,1.84249,1.85933,1.37872,0.72611,0.83266,0.73731,0.3052,1.85074,1.90308,1.37425,0.000653333,0.000653333,0.000653333
2,38.6188,1.79787,0.93271,1.29942,0.86603,0.83032,0.88215,0.39372,1.89282,0.97998,1.55317,0.00130693,0.00130693,0.00130693
3,56.282,1.76559,0.87598,1.31134,0.75345,0.61733,0.6314,0.28358,1.93963,1.65247,1.57967,0.00194733,0.00194733,0.00194733
4,73.944,1.78446,0.84759,1.30888,0.02749,0.41155,0.01836,0.00838,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,91.565,1.72276,0.78785,1.28309,0.86448,0.80144,0.82335,0.39228,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,110.958,1.7289,0.77436,1.28108,0.81998,0.87152,0.87056,0.40174,1.78537,1.07324,1.37837,0.001901,0.001901,0.001901
7,128.836,1.71602,0.77614,1.28611,0.79322,0.91401,0.81676,0.39418,1.70227,0.79067,1.34972,0.0018812,0.0018812,0.0018812
8,146.582,1.70899,0.75617,1.28368,0.90451,0.95746,0.94624,0.45991,1.69274,0.70522,1.33026,0.0018614,0.0018614,0.0018614
9,164.631,1.70407,0.74809,1.26578,0.87103,0.84477,0.89834,0.43706,1.81066,0.81925,1.40871,0.0018416,0.0018416,0.0018416
10,183.5,1.69984,0.7353,1.26165,0.89769,0.91862,0.92224,0.47014,1.68787,0.73019,1.31311,0.0018218,0.0018218,0.0018218
11,201.167,1.69707,0.73716,1.27687,0.81168,0.91804,0.91864,0.45182,1.76505,0.74556,1.36403,0.001802,0.001802,0.001802
12,218.854,1.66781,0.72434,1.26628,0.8542,0.97473,0.93425,0.46229,1.74586,0.74345,1.33951,0.0017822,0.0017822,0.0017822
13,236.369,1.65575,0.73176,1.24309,0.87977,0.97834,0.94699,0.49428,1.68782,0.67683,1.31148,0.0017624,0.0017624,0.0017624
14,254.898,1.65114,0.70903,1.25562,0.92045,0.96072,0.95806,0.48215,1.75326,0.72383,1.36029,0.0017426,0.0017426,0.0017426
15,272.844,1.64595,0.70706,1.24178,0.899,0.96404,0.96739,0.49875,1.72406,0.67012,1.32098,0.0017228,0.0017228,0.0017228
16,290.296,1.61605,0.69287,1.22004,0.89494,0.9639,0.93803,0.48598,1.67619,0.65824,1.31094,0.001703,0.001703,0.001703
17,307.657,1.6124,0.68485,1.23317,0.91019,0.97473,0.95093,0.49364,1.70521,0.65426,1.32596,0.0016832,0.0016832,0.0016832
18,325.791,1.62596,0.70504,1.24352,0.88921,0.95614,0.9335,0.48766,1.70642,0.67555,1.31901,0.0016634,0.0016634,0.0016634
19,344.085,1.60325,0.683,1.22935,0.89737,0.96751,0.94825,0.49155,1.67642,0.64739,1.3192,0.0016436,0.0016436,0.0016436
